name,fat,carbohydrat,protein,Fe,Mg,Na,K,Ca,Zn,Se,Cu,C,D,B12,E,A
pecan,92.0,5.0,18.0,14.0,29.0,0.0,3,5.0,41.0,7.0,133.0,1.0,0,0,9,0
pepper,0.0,24.0,0.0,161.0,0.0,0.0,0,34.0,0.0,0.0,0.0,23.0,0,0,0,0
pernod,27.0,6.0,15.0,18.0,0.0,19.0,0,16.0,0.0,0.0,0.0,0.0,0,0,0,0
persimmon,1.0,35.0,3.0,2.0,6.0,0.0,6,2.0,3.0,3.0,34.0,4.0,0,0,13,12
pine nut,88.0,5.0,27.0,31.0,60.0,0.0,45,1.0,59.0,1.0,147.0,1.0,0,0,62,0
pineapple,0.0,29.0,0.0,4.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0,0,0,0
pistachio,60.0,10.0,40.0,27.0,48.0,17.0,0,10.0,0.0,0.0,148.0,4.0,0,0,0,0
plantain,38.0,23.0,5.0,5.0,17.0,9.0,24,1.0,3.0,1.0,22.0,36.0,0,0,34,8
plum,0.0,4.0,1.0,1.0,2.0,0.0,5,0.0,1.0,0.0,6.0,11.0,0,0,2,2
poach,13.0,0.0,25.0,9.0,3.0,6.0,0,4.0,11.0,57.0,0.0,0.0,12,34,7,20
poblano,0.0,2.0,3.0,1.0,3.0,0.0,0,1.0,1.0,0.0,7.0,142.0,0,0,0,0
pomegranate,0.0,4.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,7.0,0,0,0,0
